snapshot_date;type;brand;model;version_raw;manufacture_year;model_year;price;version
2025-08-24;hatch;renault;kwid;kwid zen 1.0 4p;2021;2022;51690;kwid zen 1.0 4p gasolina/etanol manual
2025-08-24;hatch;chevrolet;onix;onix ltz 1.0;2023;2023;77790;onix hatch ltz 1.0 gasolina/etanol manual
2025-08-24;suv;citroen;c4;c4 cactus feel 1.6;2022;2023;84390;c4 cactus feel 1.6 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 comfort 1.0;2023;2023;68690;hb20 comfort 1.0 gasolina/etanol manual
2025-08-24;sedan;chevrolet;onix;onix plus premier ii 1.0;2023;2023;91290;onix sedan plus premier ii 1.0 gasolina/etanol automático
2025-08-24;suv;volkswagen;t-cross;t-cross highline 1.4;2022;2023;133190;t-cross highline 1.4 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2024;2025;77790;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;hatch;fiat;argo;argo 1.0;2024;2025;77290;argo 1.0 gasolina/etanol manual
2025-08-24;hatch;chevrolet;onix;onix premier ii 1.0;2024;2025;111590;onix hatch premier ii 1.0 gasolina/etanol automático
2025-08-24;hatch;hyundai;hb20;hb20 comfort plus flex 1.0;2024;2025;75990;hb20 comfort plus flex 1.0 gasolina/etanol manual
2025-08-24;sedan;chevrolet;onix;onix plus ltz 1.0;2022;2023;81890;onix sedan plus ltz 1.0 gasolina/etanol automático
