fipe_code;model_year;localiza_count;movida_count;total_count;localiza_present;movida_present;SiglaCombustivel;codigoTipoCombustivel
005540-9;2025;1382;180;1562;True;True;F;5
001494-0;2025;1021;95;1116;True;True;F;5
025266-2;2025;667;331;998;True;True;F;5
004517-9;2025;988;0;988;True;False;F;5
015245-5;2025;683;34;717;True;True;F;5
015239-0;2025;516;196;712;True;True;F;5
005510-7;2025;533;148;681;True;True;F;5
001461-3;2025;299;157;456;True;True;F;5
004518-7;2025;449;0;449;True;False;F;5
005540-9;2024;61;383;444;True;True;F;5
001553-9;2025;330;111;441;True;True;F;5
005509-3;2025;387;41;428;True;True;F;5
005508-5;2025;393;1;394;True;True;F;5
017071-2;2025;335;24;359;True;True;F;5
005525-5;2024;104;229;333;True;True;F;5
011223-2;2025;292;32;324;True;True;F;5
005538-7;2025;126;177;303;True;True;F;5
001569-5;2025;253;49;302;True;True;F;5
015235-8;2025;287;1;288;True;True;F;5
005510-7;2024;54;233;287;True;True;F;5
025327-8;2025;139;143;282;True;True;F;5
025266-2;2024;49;218;267;True;True;F;5
017088-7;2024;237;26;263;True;True;F;5
017088-7;2025;240;19;259;True;True;F;5
005526-3;2024;246;10;256;True;True;F;5
001461-3;2024;73;180;253;True;True;F;5
004494-6;2025;235;7;242;True;True;F;5
005535-2;2025;161;77;238;True;True;F;5
005528-0;2024;231;2;233;True;True;F;5
004522-5;2025;212;9;221;True;True;F;5
001531-8;2025;145;54;199;True;True;F;5
001530-0;2025;172;17;189;True;True;F;5
004502-0;2025;187;2;189;True;True;F;5
001569-5;2024;136;46;182;True;True;F;5
023178-9;2024;132;39;171;True;True;F;5
017071-2;2023;143;27;170;True;True;F;5
025290-5;2025;1;167;168;True;True;F;5
015190-4;2025;7;148;155;True;True;F;5
017071-2;2024;137;14;151;True;True;F;5
001461-3;2023;67;82;149;True;True;F;5
001505-9;2025;110;35;145;True;True;F;5
004517-9;2024;143;1;144;True;True;F;5
004516-0;2025;139;0;139;True;False;F;5
001509-1;2025;96;36;132;True;True;F;5
002168-7;2025;0;128;128;False;True;F;5
005538-7;2024;29;95;124;True;True;F;5
005509-3;2024;102;18;120;True;True;F;5
015234-0;2025;96;23;119;True;True;F;5
015240-4;2025;115;2;117;True;True;F;5
015247-1;2025;0;116;116;False;True;F;5
005508-5;2024;106;6;112;True;True;F;5
015244-7;2025;96;16;112;True;True;F;5
001526-1;2023;87;21;108;True;True;F;5
015200-5;2025;76;27;103;True;True;F;5
024264-0;2024;72;31;103;True;True;F;5
004504-7;2025;102;0;102;True;False;F;5
004518-7;2024;102;0;102;True;False;F;5
015234-0;2024;55;43;98;True;True;F;5
002207-1;2025;0;93;93;False;True;F;5
005526-3;2025;92;1;93;True;True;F;5
001553-9;2024;63;29;92;True;True;F;5
002203-9;2025;1;87;88;True;True;F;5
014114-3;2025;87;0;87;True;False;G;1
001538-5;2025;82;4;86;True;True;F;5
004502-0;2023;84;2;86;True;True;F;5
005535-2;2024;13;73;86;True;True;F;5
011223-2;2024;78;8;86;True;True;F;5
015242-0;2025;83;2;85;True;True;F;5
001494-0;2024;63;20;83;True;True;F;5
001542-3;2025;83;0;83;True;False;F;5
001554-7;2025;80;3;83;True;True;F;5
004397-4;2025;83;0;83;True;False;D;3
004502-0;2024;78;5;83;True;True;F;5
004525-0;2025;82;1;83;True;True;F;5
001544-0;2024;19;62;81;True;True;F;5
001531-8;2024;61;18;79;True;True;F;5
004532-2;2025;77;0;77;True;False;F;5
015246-3;2025;0;77;77;False;True;F;5
004525-0;2024;75;1;76;True;True;F;5
005508-5;2023;72;4;76;True;True;F;5
011232-1;2025;75;0;75;True;False;F;5
001530-0;2024;72;2;74;True;True;F;5
004541-1;2025;74;0;74;True;False;F;5
015236-6;2025;74;0;74;True;False;F;5
025266-2;2026;72;2;74;True;True;F;5
004413-0;2024;60;12;72;True;True;D;3
004512-8;2024;71;0;71;True;False;F;5
001505-9;2024;62;8;70;True;True;F;5
001494-0;2026;58;11;69;True;True;F;5
017081-0;2023;62;7;69;True;True;F;5
001509-1;2023;44;23;67;True;True;F;5
025322-7;2025;32;33;65;True;True;F;5
001538-5;2024;59;5;64;True;True;F;5
004522-5;2024;60;3;63;True;True;F;5
015235-8;2024;63;0;63;True;False;F;5
001509-1;2024;41;21;62;True;True;F;5
005492-5;2023;48;14;62;True;True;F;5
001494-0;2023;22;39;61;True;True;F;5
014112-7;2024;59;0;59;True;False;H;6
015245-5;2024;59;0;59;True;False;F;5
017081-0;2025;58;1;59;True;True;F;5
004503-9;2023;57;0;57;True;False;F;5
005534-4;2023;57;0;57;True;False;F;5
001554-7;2024;37;18;55;True;True;F;5
005528-0;2023;54;0;54;True;False;F;5
015240-4;2024;52;0;52;True;False;F;5
015239-0;2024;47;4;51;True;True;F;5
004550-0;2025;49;1;50;True;True;D;3
001531-8;2023;19;26;45;True;True;F;5
001542-3;2024;36;8;44;True;True;F;5
005543-3;2024;14;28;42;True;True;F;5
004519-5;2024;0;41;41;False;True;F;5
005527-1;2024;31;10;41;True;True;F;5
005543-3;2025;24;16;40;True;True;F;5
004515-2;2024;37;1;38;True;True;F;5
017088-7;2023;30;8;38;True;True;F;5
023187-8;2024;38;0;38;True;False;G;1
004504-7;2024;37;0;37;True;False;F;5
017071-2;2022;25;12;37;True;True;F;5
001536-9;2024;35;1;36;True;True;F;5
001544-0;2025;12;22;34;True;True;F;5
004517-9;2023;30;4;34;True;True;F;5
025328-6;2025;22;12;34;True;True;F;5
004518-7;2023;32;0;32;True;False;F;5
005533-6;2024;23;9;32;True;True;F;5
023187-8;2025;32;0;32;True;False;G;1
004525-0;2023;26;5;31;True;True;F;5
005534-4;2024;30;0;30;True;False;F;5
005485-2;2025;28;1;29;True;True;F;5
005532-8;2023;29;0;29;True;False;D;3
001526-1;2022;14;14;28;True;True;F;5
015215-3;2024;28;0;28;True;False;F;5
025266-2;2023;21;7;28;True;True;F;5
004494-6;2024;22;5;27;True;True;F;5
002111-3;2023;26;0;26;True;False;F;5
005542-5;2025;25;1;26;True;True;F;5
025322-7;2026;0;26;26;False;True;F;5
004494-6;2023;25;0;25;True;False;F;5
005484-4;2025;23;2;25;True;True;F;5
024249-7;2023;25;0;25;True;False;F;5
025267-0;2025;0;25;25;False;True;F;5
005526-3;2023;24;0;24;True;False;F;5
005538-7;2023;3;21;24;True;True;F;5
024264-0;2023;2;21;23;True;True;F;5
001542-3;2023;20;2;22;True;True;F;5
001558-0;2024;20;2;22;True;True;F;5
005536-0;2025;12;10;22;True;True;F;5
025301-4;2024;22;0;22;True;False;F;5
004501-2;2025;16;5;21;True;True;F;5
005509-3;2023;21;0;21;True;False;F;5
005527-1;2023;20;1;21;True;True;F;5
005536-0;2024;18;3;21;True;True;F;5
005540-9;2026;21;0;21;True;False;F;5
015203-0;2025;21;0;21;True;False;F;5
015236-6;2024;21;0;21;True;False;F;5
015252-8;2026;0;21;21;False;True;F;5
025290-5;2024;0;21;21;False;True;F;5
004538-1;2023;20;0;20;True;False;G;1
005485-2;2024;19;1;20;True;True;F;5
017085-2;2024;4;16;20;True;True;F;5
002181-4;2024;0;19;19;False;True;F;5
004501-2;2024;15;4;19;True;True;F;5
004516-0;2024;19;0;19;True;False;F;5
004541-1;2024;19;0;19;True;False;F;5
017082-8;2025;18;1;19;True;True;F;5
015165-3;2024;17;1;18;True;True;F;5
017081-0;2024;17;1;18;True;True;F;5
002111-3;2024;11;6;17;True;True;F;5
005491-7;2022;2;15;17;True;True;F;5
015244-7;2024;16;1;17;True;True;F;5
023180-0;2024;17;0;17;True;False;F;5
023192-4;2025;14;3;17;True;True;F;5
005490-9;2023;14;2;16;True;True;F;5
011230-5;2025;16;0;16;True;False;F;5
015216-1;2024;16;0;16;True;False;F;5
001453-2;2024;13;2;15;True;True;D;3
001558-0;2025;13;2;15;True;True;F;5
005484-4;2024;13;2;15;True;True;F;5
008279-1;2024;15;0;15;True;False;H;6
015237-4;2025;12;3;15;True;True;F;5
017080-1;2023;15;0;15;True;False;D;3
001453-2;2023;13;1;14;True;True;D;3
001530-0;2023;9;5;14;True;True;F;5
004500-4;2024;14;0;14;True;False;F;5
004500-4;2025;14;0;14;True;False;F;5
004512-8;2023;14;0;14;True;False;F;5
005525-5;2025;9;5;14;True;True;F;5
014115-1;2024;14;0;14;True;False;F;5
001453-2;2025;8;5;13;True;True;D;3
001536-9;2025;6;7;13;True;True;F;5
004515-2;2025;10;3;13;True;True;F;5
004532-2;2024;13;0;13;True;False;F;5
017080-1;2024;13;0;13;True;False;D;3
024249-7;2024;8;5;13;True;True;F;5
001538-5;2023;12;0;12;True;False;F;5
015217-0;2024;9;3;12;True;True;F;5
025331-6;2025;1;11;12;True;True;F;5
096010-1;2025;12;0;12;True;False;G;1
004395-8;2024;11;0;11;True;False;D;3
005537-9;2024;0;11;11;False;True;F;5
009172-3;2022;10;1;11;True;True;G;1
024263-2;2024;11;0;11;True;False;F;5
001494-0;2022;9;1;10;True;True;F;5
004514-4;2025;10;0;10;True;False;F;5
005525-5;2023;8;2;10;True;True;F;5
015200-5;2024;10;0;10;True;False;F;5
015216-1;2023;10;0;10;True;False;F;5
015218-8;2024;10;0;10;True;False;F;5
017075-5;2023;8;2;10;True;True;D;3
017082-8;2023;10;0;10;True;False;F;5
023186-0;2024;10;0;10;True;False;F;5
004540-3;2024;9;0;9;True;False;F;5
005485-2;2022;9;0;9;True;False;F;5
005537-9;2025;6;3;9;True;True;F;5
015243-9;2025;8;1;9;True;True;F;5
001509-1;2022;5;3;8;True;True;F;5
001557-1;2024;5;3;8;True;True;F;5
001558-0;2023;8;0;8;True;False;F;5
004542-0;2025;8;0;8;True;False;F;5
004544-6;2025;8;0;8;True;False;F;5
005510-7;2023;6;2;8;True;True;F;5
011223-2;2023;2;6;8;True;True;F;5
025300-6;2023;8;0;8;True;False;F;5
001519-9;2024;2;5;7;True;True;F;5
001554-7;2023;7;0;7;True;False;F;5
004526-8;2025;0;7;7;False;True;F;5
005508-5;2022;7;0;7;True;False;F;5
014116-0;2024;7;0;7;True;False;F;5
015251-0;2026;0;7;7;False;True;F;5
017035-6;2021;7;0;7;True;False;F;5
017085-2;2023;7;0;7;True;False;F;5
017087-9;2024;4;3;7;True;True;F;5
001461-3;2022;4;2;6;True;True;F;5
001556-3;2024;4;2;6;True;True;F;5
004515-2;2023;6;0;6;True;False;F;5
004542-0;2024;6;0;6;True;False;F;5
005459-3;2023;6;0;6;True;False;F;5
005484-4;2023;6;0;6;True;False;F;5
005509-3;2022;6;0;6;True;False;F;5
005547-6;2024;6;0;6;True;False;G;1
008289-9;2024;6;0;6;True;False;G;1
011226-7;2024;1;5;6;True;True;F;5
017082-8;2024;6;0;6;True;False;F;5
023160-6;2025;6;0;6;True;False;D;3
023187-8;2023;6;0;6;True;False;G;1
025325-1;2025;0;6;6;False;True;F;5
002203-9;2024;5;0;5;True;False;F;5
004413-0;2023;4;1;5;True;True;D;3
004504-7;2023;5;0;5;True;False;F;5
005534-4;2025;4;1;5;True;True;F;5
008287-2;2023;2;3;5;True;True;H;6
009164-2;2024;5;0;5;True;False;G;1
011224-0;2024;4;1;5;True;True;F;5
015204-8;2022;5;0;5;True;False;F;5
015237-4;2024;5;0;5;True;False;F;5
017070-4;2022;5;0;5;True;False;F;5
017081-0;2022;5;0;5;True;False;F;5
025300-6;2024;5;0;5;True;False;F;5
001553-9;2023;4;0;4;True;False;F;5
001553-9;2026;0;4;4;False;True;F;5
002015-0;2024;2;2;4;True;True;D;3
002142-3;2024;4;0;4;True;False;D;3
002182-2;2024;4;0;4;True;False;H;6
004519-5;2025;4;0;4;True;False;F;5
004522-5;2023;4;0;4;True;False;F;5
004529-2;2023;4;0;4;True;False;G;1
004538-1;2024;4;0;4;True;False;G;1
005489-5;2021;4;0;4;True;False;G;1
005542-5;2024;2;2;4;True;True;F;5
008256-2;2024;4;0;4;True;False;H;6
008275-9;2024;4;0;4;True;False;H;6
015190-4;2024;3;1;4;True;True;F;5
015213-7;2024;4;0;4;True;False;F;5
015242-0;2024;4;0;4;True;False;F;5
015249-8;2025;3;1;4;True;True;G;1
017070-4;2023;4;0;4;True;False;F;5
017075-5;2022;4;0;4;True;False;D;3
017083-6;2024;4;0;4;True;False;D;3
017083-6;2025;4;0;4;True;False;D;3
025322-7;2024;4;0;4;True;False;F;5
083015-1;2024;4;0;4;True;False;D;3
001527-0;2024;3;0;3;True;False;F;5
001539-3;2025;3;0;3;True;False;F;5
001557-1;2023;3;0;3;True;False;F;5
001557-1;2025;0;3;3;False;True;F;5
001579-2;2025;0;3;3;False;True;H;6
002112-1;2023;3;0;3;True;False;F;5
002204-7;2024;3;0;3;True;False;H;6
002207-1;2023;3;0;3;True;False;F;5
003421-5;2023;3;0;3;True;False;D;3
004470-9;2023;3;0;3;True;False;F;5
004511-0;2025;0;3;3;False;True;F;5
004512-8;2025;3;0;3;True;False;F;5
005508-5;2021;3;0;3;True;False;F;5
005510-7;2026;0;3;3;False;True;F;5
005525-5;2026;0;3;3;False;True;F;5
005526-3;2021;3;0;3;True;False;F;5
