fipe_code;model_year;localiza_count;movida_count;total_count;localiza_present;movida_present;SiglaCombustivel;codigoTipoCombustivel
005540-9;2025;1776;198;1974;True;True;F;5
001494-0;2025;1088;52;1140;True;True;F;5
004517-9;2025;1030;0;1030;True;False;F;5
025266-2;2025;677;229;906;True;True;F;5
015239-0;2025;508;104;612;True;True;F;5
015245-5;2025;564;35;599;True;True;F;5
005510-7;2025;388;147;535;True;True;F;5
001461-3;2025;318;174;492;True;True;F;5
005538-7;2025;141;303;444;True;True;F;5
004518-7;2025;413;0;413;True;False;F;5
001553-9;2025;304;105;409;True;True;F;5
005540-9;2024;82;320;402;True;True;F;5
005526-3;2024;365;18;383;True;True;F;5
005525-5;2024;110;272;382;True;True;F;5
017088-7;2024;355;19;374;True;True;F;5
001569-5;2025;315;52;367;True;True;F;5
004517-9;2024;338;0;338;True;False;F;5
005508-5;2025;336;2;338;True;True;F;5
005510-7;2024;115;212;327;True;True;F;5
025266-2;2024;88;236;324;True;True;F;5
001461-3;2024;147;161;308;True;True;F;5
005509-3;2025;249;47;296;True;True;F;5
015235-8;2025;263;0;263;True;False;F;5
017088-7;2025;244;13;257;True;True;F;5
002168-7;2025;0;253;253;False;True;F;5
005535-2;2025;142;110;252;True;True;F;5
015190-4;2025;6;245;251;True;True;F;5
004522-5;2025;244;6;250;True;True;F;5
005538-7;2024;34;200;234;True;True;F;5
002207-1;2025;0;233;233;False;True;F;5
001530-0;2025;217;13;230;True;True;F;5
011223-2;2025;202;26;228;True;True;F;5
004502-0;2025;218;5;223;True;True;F;5
001569-5;2024;144;74;218;True;True;F;5
025290-5;2025;1;198;199;True;True;F;5
025327-8;2025;86;111;197;True;True;F;5
015240-4;2025;188;2;190;True;True;F;5
015234-0;2025;164;23;187;True;True;F;5
017071-2;2024;168;12;180;True;True;F;5
015247-1;2025;0;177;177;False;True;F;5
017071-2;2025;163;12;175;True;True;F;5
001531-8;2025;129;43;172;True;True;F;5
004494-6;2025;170;0;170;True;False;F;5
024264-0;2024;135;35;170;True;True;F;5
001505-9;2025;130;28;158;True;True;F;5
023178-9;2024;115;33;148;True;True;F;5
005509-3;2024;135;12;147;True;True;F;5
001505-9;2024;142;4;146;True;True;F;5
004525-0;2024;143;3;146;True;True;F;5
004502-0;2024;139;5;144;True;True;F;5
001542-3;2025;136;0;136;True;False;F;5
004502-0;2023;134;0;134;True;False;F;5
001536-9;2024;125;6;131;True;True;F;5
004525-0;2025;127;4;131;True;True;F;5
002203-9;2025;0;129;129;False;True;F;5
015245-5;2024;125;1;126;True;True;F;5
001526-1;2023;110;15;125;True;True;F;5
001509-1;2025;99;21;120;True;True;F;5
005528-0;2024;115;4;119;True;True;F;5
015244-7;2025;96;21;117;True;True;F;5
017071-2;2023;107;9;116;True;True;F;5
001494-0;2024;106;8;114;True;True;F;5
001461-3;2023;77;34;111;True;True;F;5
004516-0;2025;111;0;111;True;False;F;5
004504-7;2025;107;0;107;True;False;F;5
005535-2;2024;11;96;107;True;True;F;5
004518-7;2024;105;1;106;True;True;F;5
005508-5;2023;100;2;102;True;True;F;5
001531-8;2024;85;12;97;True;True;F;5
004522-5;2024;95;1;96;True;True;F;5
015246-3;2025;0;95;95;False;True;F;5
005528-0;2023;90;1;91;True;True;F;5
015234-0;2024;59;30;89;True;True;F;5
015236-6;2025;85;0;85;True;False;F;5
005492-5;2023;80;2;82;True;True;F;5
005508-5;2024;82;0;82;True;False;F;5
001554-7;2025;76;4;80;True;True;F;5
011223-2;2024;74;6;80;True;True;F;5
001553-9;2024;66;12;78;True;True;F;5
001544-0;2024;44;32;76;True;True;F;5
001538-5;2025;69;6;75;True;True;F;5
025322-7;2025;23;47;70;True;True;F;5
001530-0;2024;65;4;69;True;True;F;5
004503-9;2023;68;0;68;True;False;F;5
001538-5;2024;59;8;67;True;True;F;5
015240-4;2024;67;0;67;True;False;F;5
015242-0;2025;66;0;66;True;False;F;5
004504-7;2024;65;0;65;True;False;F;5
004397-4;2025;64;0;64;True;False;D;3
004525-0;2023;60;2;62;True;True;F;5
004532-2;2025;61;1;62;True;True;F;5
001494-0;2023;24;35;59;True;True;F;5
001509-1;2023;51;8;59;True;True;F;5
001542-3;2024;53;6;59;True;True;F;5
005543-3;2025;29;30;59;True;True;F;5
015236-6;2024;58;0;58;True;False;F;5
014114-3;2025;56;0;56;True;False;G;1
017071-2;2022;51;5;56;True;True;F;5
004515-2;2024;53;2;55;True;True;F;5
004413-0;2024;49;5;54;True;True;D;3
