fipe_code;model_year;localiza_count;movida_count;total_count;localiza_present;movida_present;SiglaCombustivel;codigoTipoCombustivel
005540-9;2025;1284;168;1452;True;True;F;5
001494-0;2025;848;69;917;True;True;F;5
025266-2;2025;541;310;851;True;True;F;5
004517-9;2025;762;2;764;True;True;F;5
005510-7;2025;489;165;654;True;True;F;5
015239-0;2025;433;134;567;True;True;F;5
015245-5;2025;514;45;559;True;True;F;5
005540-9;2024;74;368;442;True;True;F;5
001461-3;2025;252;180;432;True;True;F;5
005509-3;2025;373;43;416;True;True;F;5
005508-5;2025;374;3;377;True;True;F;5
001569-5;2025;286;62;348;True;True;F;5
005538-7;2025;133;207;340;True;True;F;5
004518-7;2025;335;0;335;True;False;F;5
005525-5;2024;104;218;322;True;True;F;5
025327-8;2025;145;162;307;True;True;F;5
017071-2;2025;285;21;306;True;True;F;5
017088-7;2024;272;21;293;True;True;F;5
005510-7;2024;67;218;285;True;True;F;5
017088-7;2025;264;18;282;True;True;F;5
005526-3;2024;269;9;278;True;True;F;5
005535-2;2025;191;84;275;True;True;F;5
025266-2;2024;63;210;273;True;True;F;5
015235-8;2025;269;1;270;True;True;F;5
001553-9;2025;178;83;261;True;True;F;5
004494-6;2025;249;6;255;True;True;F;5
001461-3;2024;79;174;253;True;True;F;5
004522-5;2025;248;4;252;True;True;F;5
011223-2;2025;219;24;243;True;True;F;5
001530-0;2025;199;22;221;True;True;F;5
001531-8;2025;159;51;210;True;True;F;5
005528-0;2024;195;2;197;True;True;F;5
004502-0;2025;189;5;194;True;True;F;5
001569-5;2024;136;53;189;True;True;F;5
004517-9;2024;186;1;187;True;True;F;5
025290-5;2025;1;183;184;True;True;F;5
015190-4;2025;5;168;173;True;True;F;5
023178-9;2024;132;38;170;True;True;F;5
017071-2;2023;144;25;169;True;True;F;5
017071-2;2024;143;14;157;True;True;F;5
001461-3;2023;60;85;145;True;True;F;5
005538-7;2024;36;109;145;True;True;F;5
002168-7;2025;0;144;144;False;True;F;5
004516-0;2025;141;0;141;True;False;F;5
001509-1;2025;104;33;137;True;True;F;5
005509-3;2024;111;22;133;True;True;F;5
015244-7;2025;125;7;132;True;True;F;5
015247-1;2025;0;123;123;False;True;F;5
001505-9;2025;93;29;122;True;True;F;5
015240-4;2025;116;2;118;True;True;F;5
015234-0;2025;95;19;114;True;True;F;5
004504-7;2025;112;0;112;True;False;F;5
002207-1;2025;0;110;110;False;True;F;5
001526-1;2023;92;15;107;True;True;F;5
015234-0;2024;55;52;107;True;True;F;5
024264-0;2024;78;25;103;True;True;F;5
004502-0;2024;94;7;101;True;True;F;5
001542-3;2025;98;0;98;True;False;F;5
004532-2;2025;95;1;96;True;True;F;5
004525-0;2025;94;1;95;True;True;F;5
004502-0;2023;92;2;94;True;True;F;5
005508-5;2024;91;2;93;True;True;F;5
005526-3;2025;91;1;92;True;True;F;5
004518-7;2024;91;0;91;True;False;F;5
001538-5;2025;86;4;90;True;True;F;5
004397-4;2025;88;0;88;True;False;D;3
001531-8;2024;72;15;87;True;True;F;5
011223-2;2024;76;10;86;True;True;F;5
005508-5;2023;82;3;85;True;True;F;5
002203-9;2025;1;83;84;True;True;F;5
014114-3;2025;83;0;83;True;False;G;1
015200-5;2025;67;16;83;True;True;F;5
001553-9;2024;62;19;81;True;True;F;5
001494-0;2024;67;13;80;True;True;F;5
025322-7;2025;39;41;80;True;True;F;5
001505-9;2024;73;6;79;True;True;F;5
001530-0;2024;77;2;79;True;True;F;5
004525-0;2024;77;1;78;True;True;F;5
001554-7;2025;74;3;77;True;True;F;5
015242-0;2025;77;0;77;True;False;F;5
001544-0;2024;28;48;76;True;True;F;5
004541-1;2025;76;0;76;True;False;F;5
015236-6;2025;75;0;75;True;False;F;5
005535-2;2024;8;66;74;True;True;F;5
011232-1;2025;74;0;74;True;False;F;5
015246-3;2025;0;74;74;False;True;F;5
005534-4;2023;68;0;68;True;False;F;5
004503-9;2023;65;0;65;True;False;F;5
004522-5;2024;63;2;65;True;True;F;5
001538-5;2024;60;3;63;True;True;F;5
004512-8;2024;63;0;63;True;False;F;5
015245-5;2024;61;0;61;True;False;F;5
005528-0;2023;60;0;60;True;False;F;5
017081-0;2023;54;6;60;True;True;F;5
001542-3;2024;50;7;57;True;True;F;5
004413-0;2024;49;7;56;True;True;D;3
005492-5;2023;43;12;55;True;True;F;5
017081-0;2025;54;1;55;True;True;F;5
014112-7;2024;54;0;54;True;False;H;6
001509-1;2023;40;12;52;True;True;F;5
001509-1;2024;40;10;50;True;True;F;5
005527-1;2024;37;11;48;True;True;F;5
015235-8;2024;48;0;48;True;False;F;5
015240-4;2024;48;0;48;True;False;F;5
004504-7;2024;46;0;46;True;False;F;5
001494-0;2023;25;20;45;True;True;F;5
004550-0;2025;44;1;45;True;True;D;3
001554-7;2024;33;11;44;True;True;F;5
005543-3;2024;15;29;44;True;True;F;5
017071-2;2022;33;11;44;True;True;F;5
005543-3;2025;25;18;43;True;True;F;5
017088-7;2023;38;5;43;True;True;F;5
004515-2;2024;41;1;42;True;True;F;5
001536-9;2024;39;2;41;True;True;F;5
004519-5;2024;0;40;40;False;True;F;5
023187-8;2024;39;0;39;True;False;G;1
004525-0;2023;33;4;37;True;True;F;5
005534-4;2024;37;0;37;True;False;F;5
015239-0;2024;37;0;37;True;False;F;5
001531-8;2023;23;12;35;True;True;F;5
005533-6;2024;25;10;35;True;True;F;5
005526-3;2023;34;0;34;True;False;F;5
025266-2;2023;26;8;34;True;True;F;5
004517-9;2023;29;4;33;True;True;F;5
015215-3;2024;33;0;33;True;False;F;5
025328-6;2025;22;11;33;True;True;F;5
001544-0;2025;10;22;32;True;True;F;5
015203-0;2025;32;0;32;True;False;F;5
005532-8;2023;30;0;30;True;False;D;3
005538-7;2023;4;25;29;True;True;F;5
024249-7;2023;29;0;29;True;False;F;5
001542-3;2023;27;1;28;True;True;F;5
002111-3;2023;28;0;28;True;False;F;5
005485-2;2025;26;2;28;True;True;F;5
025322-7;2026;0;28;28;False;True;F;5
004494-6;2024;25;2;27;True;True;F;5
004518-7;2023;27;0;27;True;False;F;5
001558-0;2024;23;2;25;True;True;F;5
004494-6;2023;25;0;25;True;False;F;5
005509-3;2023;23;2;25;True;True;F;5
023187-8;2025;25;0;25;True;False;G;1
025301-4;2024;25;0;25;True;False;F;5
004501-2;2025;17;7;24;True;True;F;5
004538-1;2023;24;0;24;True;False;G;1
015252-8;2026;0;24;24;False;True;F;5
017085-2;2024;6;18;24;True;True;F;5
005484-4;2025;22;1;23;True;True;F;5
005542-5;2025;22;1;23;True;True;F;5
015236-6;2024;23;0;23;True;False;F;5
004516-0;2024;22;0;22;True;False;F;5
005527-1;2023;21;1;22;True;True;F;5
015165-3;2024;20;1;21;True;True;F;5
025267-0;2025;0;21;21;False;True;F;5
004500-4;2024;20;0;20;True;False;F;5
014115-1;2024;20;0;20;True;False;F;5
023180-0;2024;20;0;20;True;False;F;5
005485-2;2024;16;3;19;True;True;F;5
005536-0;2024;14;5;19;True;True;F;5
025331-6;2025;2;17;19;True;True;F;5
004501-2;2024;15;3;18;True;True;F;5
004541-1;2024;18;0;18;True;False;F;5
005525-5;2025;9;9;18;True;True;F;5
001526-1;2022;14;3;17;True;True;F;5
002181-4;2024;0;17;17;False;True;F;5
017082-8;2025;15;2;17;True;True;F;5
011230-5;2025;16;0;16;True;False;F;5
001453-2;2023;14;1;15;True;True;D;3
001538-5;2023;14;1;15;True;True;F;5
004515-2;2025;11;4;15;True;True;F;5
005536-0;2025;8;7;15;True;True;F;5
025290-5;2024;0;15;15;False;True;F;5
001453-2;2024;12;2;14;True;True;D;3
001536-9;2025;9;5;14;True;True;F;5
001558-0;2025;13;1;14;True;True;F;5
005484-4;2024;12;2;14;True;True;F;5
005491-7;2022;8;6;14;True;True;F;5
005525-5;2023;13;1;14;True;True;F;5
008279-1;2024;14;0;14;True;False;H;6
015217-0;2024;10;4;14;True;True;F;5
017081-0;2024;14;0;14;True;False;F;5
024263-2;2024;14;0;14;True;False;F;5
025300-6;2023;14;0;14;True;False;F;5
004532-2;2024;13;0;13;True;False;F;5
005485-2;2022;12;1;13;True;True;F;5
015216-1;2024;13;0;13;True;False;F;5
015244-7;2024;12;1;13;True;True;F;5
017080-1;2023;13;0;13;True;False;D;3
001453-2;2025;6;6;12;True;True;D;3
004512-8;2023;12;0;12;True;False;F;5
005537-9;2024;0;12;12;False;True;F;5
015216-1;2023;12;0;12;True;False;F;5
001530-0;2023;10;1;11;True;True;F;5
004500-4;2025;11;0;11;True;False;F;5
005508-5;2022;11;0;11;True;False;F;5
009172-3;2022;10;1;11;True;True;G;1
015237-4;2025;11;0;11;True;False;F;5
023186-0;2024;11;0;11;True;False;F;5
096010-1;2025;11;0;11;True;False;G;1
001494-0;2026;4;6;10;True;True;F;5
004526-8;2025;0;10;10;False;True;F;5
015200-5;2024;10;0;10;True;False;F;5
015218-8;2024;10;0;10;True;False;F;5
015243-9;2025;9;1;10;True;True;F;5
023160-6;2025;10;0;10;True;False;D;3
025322-7;2024;7;3;10;True;True;F;5
001494-0;2022;8;1;9;True;True;F;5
001554-7;2023;9;0;9;True;False;F;5
002111-3;2024;7;2;9;True;True;F;5
004515-2;2023;9;0;9;True;False;F;5
004540-3;2024;9;0;9;True;False;F;5
005490-9;2023;6;3;9;True;True;F;5
015204-8;2022;9;0;9;True;False;F;5
017035-6;2021;8;1;9;True;True;F;5
017075-5;2023;8;1;9;True;True;D;3
023192-4;2025;7;2;9;True;True;F;5
024249-7;2024;7;2;9;True;True;F;5
001558-0;2023;8;0;8;True;False;F;5
004542-0;2025;8;0;8;True;False;F;5
017082-8;2023;8;0;8;True;False;F;5
023187-8;2023;8;0;8;True;False;G;1
