fipe_code;model_year;localiza_count;movida_count;total_count;localiza_present;movida_present
005540-9;2025;1030;120;1150;True;True
001494-0;2025;747;29;776;True;True
004517-9;2025;681;0;681;True;False
001461-3;2024;498;84;582;True;True
015245-5;2025;531;33;564;True;True
004517-9;2024;481;0;481;True;False
001536-9;2024;444;2;446;True;True
005540-9;2024;238;206;444;True;True
005526-3;2024;383;3;386;True;True
017088-7;2024;321;6;327;True;True
025266-2;2024;197;117;314;True;True
001461-3;2025;220;90;310;True;True
004518-7;2025;283;1;284;True;True
015239-0;2025;220;53;273;True;True
025266-2;2025;47;208;255;True;True
025290-5;2025;1;249;250;True;True
005510-7;2024;162;62;224;True;True
015234-0;2025;202;22;224;True;True
015245-5;2024;219;0;219;True;False
001569-5;2025;179;23;202;True;True
024264-0;2024;174;15;189;True;True
001505-9;2024;185;0;185;True;False
001553-9;2025;112;66;178;True;True
004502-0;2024;175;2;177;True;True
005508-5;2025;175;2;177;True;True
001494-0;2024;165;7;172;True;True
004502-0;2023;165;3;168;True;True
005510-7;2025;132;35;167;True;True
004525-0;2024;163;0;163;True;False
017071-2;2024;159;3;162;True;True
004522-5;2024;154;1;155;True;True
005509-3;2024;153;1;154;True;True
005528-0;2023;153;0;153;True;False
015235-8;2025;145;0;145;True;False
005525-5;2024;89;54;143;True;True
005535-2;2025;124;16;140;True;True
005509-3;2025;118;20;138;True;True
001569-5;2024;105;30;135;True;True
015190-4;2025;4;126;130;True;True
001461-3;2023;107;15;122;True;True
001526-1;2023;117;5;122;True;True
001553-9;2024;112;10;122;True;True
023178-9;2024;106;15;121;True;True
005538-7;2025;64;54;118;True;True
001531-8;2025;96;21;117;True;True
015234-0;2024;104;11;115;True;True
004518-7;2024;114;0;114;True;False
001509-1;2025;77;34;111;True;True
015244-7;2025;110;1;111;True;True
001531-8;2024;100;10;110;True;True
002207-1;2025;0;109;109;False;True
015236-6;2024;105;0;105;True;False
004502-0;2025;100;2;102;True;True
005533-6;2024;72;25;97;True;True
011223-2;2024;93;3;96;True;True
001544-0;2024;76;19;95;True;True
004504-7;2024;95;0;95;True;False
005492-5;2023;92;1;93;True;True
017088-7;2025;88;4;92;True;True
005508-5;2024;89;1;90;True;True
004522-5;2025;87;1;88;True;True
004519-5;2024;0;85;85;False;True
015240-4;2025;83;1;84;True;True
017071-2;2023;73;2;75;True;True
001542-3;2024;63;11;74;True;True
015240-4;2024;74;0;74;True;False
005509-3;2023;72;1;73;True;True
004504-7;2025;72;0;72;True;False
001542-3;2025;70;0;70;True;False
004525-0;2025;70;0;70;True;False
001509-1;2024;50;19;69;True;True
005538-7;2024;31;37;68;True;True
001530-0;2025;65;2;67;True;True
025301-4;2024;66;1;67;True;True
001505-9;2025;58;5;63;True;True
004494-6;2025;63;0;63;True;False
017071-2;2025;63;0;63;True;False
005528-0;2024;62;0;62;True;False
005534-4;2024;57;0;57;True;False
005535-2;2024;10;47;57;True;True
023187-8;2024;57;0;57;True;False
004538-1;2023;56;0;56;True;False
015239-0;2024;55;0;55;True;False
001554-7;2025;52;1;53;True;True
004515-2;2024;52;1;53;True;True
004525-0;2023;53;0;53;True;False
015165-3;2024;53;0;53;True;False
015242-0;2025;52;1;53;True;True
001538-5;2024;50;1;51;True;True
005508-5;2023;51;0;51;True;False
004503-9;2023;48;1;49;True;True
002168-7;2025;0;48;48;False;True
017071-2;2022;48;0;48;True;False
011223-2;2025;40;7;47;True;True
004516-0;2025;45;0;45;True;False
015215-3;2024;45;0;45;True;False
017081-0;2023;45;0;45;True;False
001494-0;2023;38;6;44;True;True
001509-1;2023;40;4;44;True;True
005527-1;2023;42;0;42;True;False
004541-1;2025;40;1;41;True;True
017088-7;2023;40;1;41;True;True
001530-0;2024;37;2;39;True;True
004516-0;2024;39;0;39;True;False
001554-7;2024;34;3;37;True;True
025327-8;2025;30;6;36;True;True
004517-9;2023;33;2;35;True;True
011232-1;2025;35;0;35;True;False
015235-8;2024;35;0;35;True;False
015236-6;2025;34;1;35;True;True
025266-2;2023;32;3;35;True;True
015244-7;2024;33;1;34;True;True
004501-2;2024;33;0;33;True;False
005485-2;2024;32;1;33;True;True
001558-0;2024;32;0;32;True;False
001538-5;2025;29;2;31;True;True
005484-4;2024;31;0;31;True;False
004413-0;2024;29;1;30;True;True
005527-1;2024;26;4;30;True;True
004413-0;2023;22;7;29;True;True
004494-6;2024;27;1;28;True;True
004500-4;2024;28;0;28;True;False
004532-2;2024;28;0;28;True;False
005542-5;2025;26;2;28;True;True
017035-6;2021;28;0;28;True;False
004518-7;2023;27;0;27;True;False
005536-0;2024;25;2;27;True;True
005542-5;2024;24;3;27;True;True
017081-0;2024;27;0;27;True;False
001531-8;2023;21;3;24;True;True
004541-1;2024;24;0;24;True;False
005543-3;2024;16;8;24;True;True
015217-0;2024;22;2;24;True;True
015165-3;2023;23;0;23;True;False
017081-0;2025;23;0;23;True;False
025267-0;2025;0;23;23;False;True
025300-6;2024;23;0;23;True;False
005526-3;2023;22;0;22;True;False
023186-0;2024;18;4;22;True;True
025322-7;2024;22;0;22;True;False
002111-3;2023;21;0;21;True;False
004550-0;2025;20;0;20;True;False
005543-3;2025;19;1;20;True;True
017085-2;2024;10;9;19;True;True
024263-2;2024;19;0;19;True;False
025328-6;2025;13;6;19;True;True
001544-0;2025;6;12;18;True;True
001554-7;2023;18;0;18;True;False
002203-9;2025;0;18;18;False;True
004501-2;2025;17;1;18;True;True
005536-0;2025;16;2;18;True;True
005538-7;2023;0;18;18;False;True
014114-3;2025;18;0;18;True;False
015233-1;2024;18;0;18;True;False
004512-8;2024;17;0;17;True;False
001453-2;2024;14;2;16;True;True
004494-6;2023;16;0;16;True;False
004515-2;2025;12;4;16;True;True
004532-2;2025;16;0;16;True;False
005459-3;2023;16;0;16;True;False
015200-5;2024;16;0;16;True;False
025290-5;2024;0;16;16;False;True
001505-9;2023;15;0;15;True;False
001509-1;2022;13;2;15;True;True
023187-8;2025;15;0;15;True;False
001526-1;2022;11;3;14;True;True
001538-5;2023;14;0;14;True;False
005491-7;2022;14;0;14;True;False
017081-0;2022;14;0;14;True;False
004397-4;2025;13;0;13;True;False
004540-3;2024;13;0;13;True;False
005485-2;2025;13;0;13;True;False
015246-3;2025;0;13;13;False;True
001453-2;2023;12;0;12;True;False
005490-9;2023;12;0;12;True;False
005508-5;2022;12;0;12;True;False
005510-7;2023;10;2;12;True;True
009172-3;2022;12;0;12;True;False
011223-2;2023;11;1;12;True;True
023180-0;2024;12;0;12;True;False
096002-0;2025;12;0;12;True;False
001530-0;2023;10;1;11;True;True
001536-9;2025;1;10;11;True;True
005528-0;2022;11;0;11;True;False
017082-8;2023;11;0;11;True;False
024249-7;2024;10;1;11;True;True
001542-3;2023;7;3;10;True;True
015204-8;2022;10;0;10;True;False
017082-8;2025;10;0;10;True;False
001453-2;2025;8;1;9;True;True
001555-5;2024;9;0;9;True;False
004395-8;2024;9;0;9;True;False
005493-3;2022;9;0;9;True;False
005526-3;2021;9;0;9;True;False
008279-1;2024;9;0;9;True;False
014115-1;2024;9;0;9;True;False
015237-4;2025;8;1;9;True;True
015243-9;2025;6;3;9;True;True
025319-7;2024;8;1;9;True;True
001558-0;2025;8;0;8;True;False
002200-4;2023;8;0;8;True;False
003363-4;2023;8;0;8;True;False
004512-8;2025;8;0;8;True;False
004513-6;2023;8;0;8;True;False
004515-2;2023;8;0;8;True;False
004519-5;2025;3;5;8;True;True
015218-8;2024;8;0;8;True;False
015238-2;2024;8;0;8;True;False
017070-4;2022;8;0;8;True;False
017080-1;2023;8;0;8;True;False
025313-8;2023;8;0;8;True;False
001461-3;2022;5;2;7;True;True
001494-0;2022;7;0;7;True;False
004502-0;2022;7;0;7;True;False
004504-7;2023;7;0;7;True;False
004522-5;2023;7;0;7;True;False
005525-5;2023;7;0;7;True;False
005526-3;2022;7;0;7;True;False
015200-5;2025;7;0;7;True;False
015213-7;2024;7;0;7;True;False
015214-5;2024;6;1;7;True;True
017087-9;2024;2;5;7;True;True
017088-7;2022;6;1;7;True;True
024264-0;2023;7;0;7;True;False
001556-3;2024;6;0;6;True;False
001558-0;2023;6;0;6;True;False
002203-9;2024;6;0;6;True;False
004525-0;2022;6;0;6;True;False
005485-2;2022;6;0;6;True;False
011226-7;2024;4;2;6;True;True
011230-5;2025;6;0;6;True;False
017070-4;2023;5;1;6;True;True
017070-4;2025;6;0;6;True;False
017085-2;2023;6;0;6;True;False
023187-8;2023;6;0;6;True;False
025267-0;2024;1;5;6;True;True
025322-7;2025;6;0;6;True;False
025331-6;2025;0;6;6;False;True
003421-5;2023;5;0;5;True;False
004500-4;2025;5;0;5;True;False
011224-0;2024;3;2;5;True;True
015202-1;2024;5;0;5;True;False
015206-4;2024;5;0;5;True;False
015237-4;2024;4;1;5;True;True
017075-5;2023;5;0;5;True;False
025300-6;2023;5;0;5;True;False
001453-2;2022;4;0;4;True;False
001487-7;2022;4;0;4;True;False
001542-3;2022;4;0;4;True;False
001544-0;2023;2;2;4;True;True
001561-0;2025;4;0;4;True;False
001579-2;2025;0;4;4;False;True
002111-3;2024;2;2;4;True;True
002142-3;2024;4;0;4;True;False
002182-2;2023;4;0;4;True;False
004470-9;2023;4;0;4;True;False
004512-8;2023;4;0;4;True;False
004529-2;2024;4;0;4;True;False
005484-4;2022;4;0;4;True;False
005484-4;2025;4;0;4;True;False
005509-3;2022;4;0;4;True;False
005531-0;2025;3;1;4;True;True
005534-4;2025;4;0;4;True;False
009164-2;2024;4;0;4;True;False
015190-4;2024;4;0;4;True;False
015209-9;2024;4;0;4;True;False
