fipe_code;model_year;localiza_count;movida_count;total_count;localiza_present;movida_present
005540-9;2025;945;368;1313;True;True
005540-9;2024;291;874;1165;True;True
015245-5;2025;727;69;796;True;True
004517-9;2025;740;4;744;True;True
004517-9;2024;714;0;714;True;False
001494-0;2025;593;82;675;True;True
001461-3;2024;477;108;585;True;True
001461-3;2025;330;238;568;True;True
025266-2;2025;69;412;481;True;True
015245-5;2024;451;0;451;True;False
017088-7;2024;435;4;439;True;True
025266-2;2024;107;327;434;True;True
001536-9;2024;420;0;420;True;False
004519-5;2024;0;414;414;False;True
005510-7;2024;164;249;413;True;True
015234-0;2025;185;221;406;True;True
002207-1;2025;0;362;362;False;True
015239-0;2025;205;124;329;True;True
005526-3;2024;308;12;320;True;True
015190-4;2025;6;280;286;True;True
005535-2;2024;33;242;275;True;True
004502-0;2024;253;3;256;True;True
005509-3;2024;236;20;256;True;True
004525-0;2024;243;0;243;True;False
025290-5;2025;0;242;242;False;True
001494-0;2024;220;20;240;True;True
004518-7;2025;239;1;240;True;True
005525-5;2024;85;154;239;True;True
002168-7;2025;0;230;230;False;True
004518-7;2024;209;0;209;True;False
001553-9;2024;181;27;208;True;True
017071-2;2024;206;2;208;True;True
015240-4;2025;197;1;198;True;True
001505-9;2024;197;0;197;True;False
001461-3;2023;161;35;196;True;True
015234-0;2024;138;55;193;True;True
001544-0;2024;117;58;175;True;True
015240-4;2024;171;0;171;True;False
004522-5;2025;160;8;168;True;True
024264-0;2024;130;30;160;True;True
005528-0;2023;159;0;159;True;False
004522-5;2024;153;1;154;True;True
001526-1;2023;140;9;149;True;True
023178-9;2024;130;13;143;True;True
001553-9;2025;120;21;141;True;True
017071-2;2023;132;8;140;True;True
004504-7;2025;138;0;138;True;False
011223-2;2024;132;6;138;True;True
001531-8;2024;133;4;137;True;True
005538-7;2024;62;70;132;True;True
005533-6;2024;81;46;127;True;True
004502-0;2023;123;3;126;True;True
005508-5;2024;125;1;126;True;True
005534-4;2024;109;0;109;True;False
001509-1;2025;91;17;108;True;True
005510-7;2025;24;81;105;True;True
017071-2;2025;100;2;102;True;True
015244-7;2025;97;3;100;True;True
004532-2;2024;99;0;99;True;False
015239-0;2024;96;3;99;True;True
004494-6;2024;95;1;96;True;True
015236-6;2024;93;1;94;True;True
025301-4;2024;85;4;89;True;True
001569-5;2024;72;15;87;True;True
004504-7;2024;87;0;87;True;False
015215-3;2024;87;0;87;True;False
004494-6;2025;85;1;86;True;True
005543-3;2024;43;42;85;True;True
001569-5;2025;77;5;82;True;True
004502-0;2025;81;1;82;True;True
005535-2;2025;75;7;82;True;True
005509-3;2025;33;47;80;True;True
001509-1;2023;55;18;73;True;True
015244-7;2024;71;0;71;True;False
017088-7;2023;68;2;70;True;True
001494-0;2023;64;5;69;True;True
001542-3;2024;49;20;69;True;True
001509-1;2024;50;18;68;True;True
004541-1;2025;64;0;64;True;False
017035-6;2021;62;1;63;True;True
005508-5;2025;59;2;61;True;True
004525-0;2023;60;0;60;True;False
023186-0;2024;57;2;59;True;True
005484-4;2024;58;0;58;True;False
004494-6;2023;57;0;57;True;False
017071-2;2022;57;0;57;True;False
025300-6;2024;57;0;57;True;False
001554-7;2024;45;10;55;True;True
001558-0;2024;54;1;55;True;True
004503-9;2023;55;0;55;True;False
004516-0;2025;54;0;54;True;False
005485-2;2024;51;2;53;True;True
004517-9;2023;48;4;52;True;True
017088-7;2025;50;2;52;True;True
015165-3;2024;49;2;51;True;True
001531-8;2025;42;8;50;True;True
001538-5;2024;50;0;50;True;False
025328-6;2025;0;50;50;False;True
