fipe_code;model_year;localiza_count;movida_count;total_count;localiza_present;movida_present
005540-9;2025;829;354;1183;True;True
005540-9;2024;349;729;1078;True;True
004517-9;2025;725;2;727;True;True
004517-9;2024;713;1;714;True;True
015245-5;2025;620;80;700;True;True
001494-0;2025;579;72;651;True;True
001461-3;2024;533;64;597;True;True
001461-3;2025;273;204;477;True;True
001536-9;2024;472;1;473;True;True
015245-5;2024;473;0;473;True;False
025266-2;2025;55;391;446;True;True
025266-2;2024;127;304;431;True;True
017088-7;2024;407;4;411;True;True
004519-5;2024;0;370;370;False;True
005510-7;2024;176;194;370;True;True
015239-0;2025;199;143;342;True;True
005526-3;2024;321;7;328;True;True
015234-0;2025;160;164;324;True;True
004518-7;2025;272;0;272;True;False
025290-5;2025;0;271;271;False;True
015190-4;2025;4;266;270;True;True
002207-1;2025;0;258;258;False;True
001494-0;2024;234;20;254;True;True
004525-0;2024;250;0;250;True;False
004502-0;2024;241;5;246;True;True
005525-5;2024;92;135;227;True;True
001553-9;2024;186;30;216;True;True
001461-3;2023;178;36;214;True;True
001505-9;2024;205;1;206;True;True
005535-2;2024;22;182;204;True;True
004522-5;2024;200;2;202;True;True
004518-7;2024;186;0;186;True;False
017071-2;2024;182;4;186;True;True
002168-7;2025;0;185;185;False;True
005528-0;2023;182;0;182;True;False
005509-3;2024;169;11;180;True;True
015234-0;2024;138;40;178;True;True
024264-0;2024;140;32;172;True;True
001544-0;2024;115;53;168;True;True
015240-4;2025;166;2;168;True;True
001526-1;2023;157;9;166;True;True
004522-5;2025;145;9;154;True;True
023178-9;2024;131;15;146;True;True
015240-4;2024;144;0;144;True;False
004504-7;2025;136;1;137;True;True
005538-7;2024;59;78;137;True;True
001553-9;2025;117;19;136;True;True
005508-5;2024;132;1;133;True;True
005510-7;2025;38;88;126;True;True
005533-6;2024;81;45;126;True;True
011223-2;2024;121;3;124;True;True
001509-1;2025;106;15;121;True;True
004502-0;2023;117;4;121;True;True
001531-8;2024;106;5;111;True;True
015239-0;2024;109;2;111;True;True
017071-2;2023;100;6;106;True;True
015244-7;2025;101;4;105;True;True
015236-6;2024;104;0;104;True;False
025301-4;2024;93;4;97;True;True
001509-1;2024;70;26;96;True;True
004504-7;2024;92;0;92;True;False
017071-2;2025;89;2;91;True;True
005509-3;2025;37;52;89;True;True
001569-5;2024;71;15;86;True;True
001569-5;2025;78;8;86;True;True
004502-0;2025;83;2;85;True;True
015215-3;2024;84;1;85;True;True
005535-2;2025;67;17;84;True;True
004494-6;2024;82;1;83;True;True
005508-5;2025;77;4;81;True;True
004494-6;2025;77;0;77;True;False
005534-4;2024;76;1;77;True;True
017088-7;2023;67;3;70;True;True
001509-1;2023;48;21;69;True;True
015244-7;2024;69;0;69;True;False
025266-2;2023;57;10;67;True;True
001494-0;2023;58;7;65;True;True
004515-2;2024;63;1;64;True;True
001542-3;2024;49;14;63;True;True
017088-7;2025;59;4;63;True;True
025300-6;2024;61;1;62;True;True
005543-3;2024;26;35;61;True;True
005538-7;2025;40;20;60;True;True
004525-0;2023;59;0;59;True;False
004541-1;2025;56;1;57;True;True
017035-6;2021;56;1;57;True;True
004517-9;2023;52;3;55;True;True
017081-0;2023;54;1;55;True;True
004494-6;2023;54;0;54;True;False
004525-0;2025;53;1;54;True;True
017071-2;2022;51;3;54;True;True
001505-9;2025;51;2;53;True;True
004516-0;2025;53;0;53;True;False
001554-7;2024;45;7;52;True;True
005527-1;2023;51;1;52;True;True
005484-4;2024;51;0;51;True;False
004503-9;2023;50;0;50;True;False
023186-0;2024;49;1;50;True;True
001531-8;2025;45;4;49;True;True
015165-3;2024;49;0;49;True;False
024263-2;2024;47;0;47;True;False
005485-2;2024;45;1;46;True;True
001558-0;2024;44;1;45;True;True
005508-5;2023;44;0;44;True;False
004538-1;2023;43;0;43;True;False
002203-9;2025;0;42;42;False;True
017081-0;2024;41;0;41;True;False
001538-5;2024;38;2;40;True;True
005492-5;2023;39;1;40;True;True
025267-0;2025;1;39;40;True;True
001542-3;2025;39;0;39;True;False
004516-0;2024;39;0;39;True;False
025322-7;2024;39;0;39;True;False
001554-7;2025;37;1;38;True;True
017085-2;2024;5;33;38;True;True
004501-2;2024;35;2;37;True;True
005527-1;2024;25;12;37;True;True
011223-2;2025;28;9;37;True;True
017081-0;2025;36;0;36;True;False
005542-5;2024;30;5;35;True;True
011232-1;2025;35;0;35;True;False
015217-0;2024;34;1;35;True;True
001544-0;2025;7;27;34;True;True
004541-1;2024;34;0;34;True;False
001505-9;2023;33;0;33;True;False
004532-2;2024;32;0;32;True;False
005528-0;2024;30;2;32;True;True
005542-5;2025;31;1;32;True;True
005508-5;2022;31;0;31;True;False
001536-9;2025;0;30;30;False;True
001538-5;2025;30;0;30;True;False
004413-0;2024;29;1;30;True;True
005459-3;2023;30;0;30;True;False
025328-6;2025;0;29;29;False;True
005509-3;2023;28;0;28;True;False
004518-7;2023;27;0;27;True;False
025290-5;2024;1;26;27;True;True
005536-0;2024;26;0;26;True;False
015235-8;2024;25;0;25;True;False
023187-8;2024;23;0;23;True;False
001453-2;2024;21;1;22;True;True
001558-0;2025;21;1;22;True;True
005490-9;2023;18;4;22;True;True
005526-3;2023;22;0;22;True;False
005536-0;2025;17;5;22;True;True
017082-8;2023;22;0;22;True;False
017088-7;2022;19;2;21;True;True
096002-0;2025;21;0;21;True;False
001542-3;2023;14;6;20;True;True
004540-3;2024;20;0;20;True;False
008279-1;2024;20;0;20;True;False
015200-5;2024;20;0;20;True;False
001530-0;2025;19;0;19;True;False
001531-8;2023;19;0;19;True;False
001538-5;2023;17;2;19;True;True
001558-0;2023;19;0;19;True;False
004501-2;2025;14;5;19;True;True
004515-2;2023;19;0;19;True;False
005538-7;2023;0;19;19;False;True
002111-3;2023;18;0;18;True;False
004532-2;2025;18;0;18;True;False
001530-0;2024;16;1;17;True;True
001555-5;2024;17;0;17;True;False
004515-2;2025;15;2;17;True;True
004395-8;2024;16;0;16;True;False
004500-4;2024;16;0;16;True;False
011223-2;2023;16;0;16;True;False
015235-8;2025;16;0;16;True;False
023180-0;2024;15;1;16;True;True
001453-2;2023;14;1;15;True;True
023187-8;2023;15;0;15;True;False
004522-5;2023;14;0;14;True;False
015190-4;2024;13;1;14;True;True
015214-5;2024;14;0;14;True;False
017070-4;2022;14;0;14;True;False
001526-1;2022;12;1;13;True;True
002207-1;2024;0;13;13;False;True
005526-3;2022;13;0;13;True;False
005543-3;2025;9;4;13;True;True
009172-3;2022;13;0;13;True;False
